,Class Number,Course Number,Subjects,Course Title,Time and Location,Enrollment,Instructor(s),View Books
1332,10499,ENG      167B      1,English,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1333,7090,THA      144B      1,English,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1334,6540,AAAS      159A      1,English,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1335,7218,AAAS/HIS      154B      1,English,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1336,10186,ED      170A      1,English,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1337,10541,HSSP      114B      1,English,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1338,10516,ENG      62B      1,English,"Contemporary African Literature, Global Perspectives","Block1C;   M,W;   12:00 PM–1:30 PM",Open        17 / 999 / 0,"Williams, Joshua",View Books
1339,10137,AAAS      124A      1,English,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1340,10134,AAAS      155B      1,English,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1341,6540,AAAS      159A      1,English,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1342,7218,AAAS/HIS      154B      1,English,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1343,10186,ED      170A      1,English,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1344,10067,ENG      127B      1,English,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1345,10499,ENG      167B      1,English,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1346,10113,HIST      153B      1,English,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1347,10117,HIST      175B      1,English,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1348,10541,HSSP      114B      1,English,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1349,7090,THA      144B      1,English,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1350,3196,AAAS      5A      1,English as a Second Language,Introduction to African and African American Studies,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        45 / 999 / 0,"Ray, Carina E;  Williams, Chad",View Books
1351,3614,AAAS      98A      1,English as a Second Language,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Williams, Chad",View Books
1352,3610,AAAS      98A      2,English as a Second Language,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1353,3612,AAAS      98A      3,English as a Second Language,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1354,3616,AAAS      98A      4,English as a Second Language,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1355,3676,AAAS      99D      1,English as a Second Language,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1356,3678,AAAS      99D      2,English as a Second Language,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1357,3680,AAAS      99D      3,English as a Second Language,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Johnson, Jasmine",View Books
1358,3682,AAAS      99D      4,English as a Second Language,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1359,3684,AAAS      99D      5,English as a Second Language,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Williams, Chad",View Books
1360,6472,AAAS      99D      6,English as a Second Language,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Childs, Gregory",View Books
1361,10942,AAAS      99D      7,English as a Second Language,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Wallace, Derron",View Books
1362,10952,AAAS      99D      8,English as a Second Language,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Ray, Carina E",View Books
1363,10985,AAAS      99D      9,English as a Second Language,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Roach, Shoniqua",View Books
1364,10137,AAAS      124A      1,English as a Second Language,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1365,10134,AAAS      155B      1,English as a Second Language,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1366,6540,AAAS      159A      1,English as a Second Language,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1367,7218,AAAS/HIS      154B      1,English as a Second Language,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1368,7198,AAAS/WGS      125A      1,English as a Second Language,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1369,10134,AAAS      155B      1,English as a Second Language,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1370,7218,AAAS/HIS      154B      1,English as a Second Language,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1371,7198,AAAS/WGS      125A      1,English as a Second Language,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1372,10113,HIST      153B      1,English as a Second Language,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1373,10117,HIST      175B      1,English as a Second Language,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1374,10137,AAAS      124A      1,English as a Second Language,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1375,10134,AAAS      155B      1,English as a Second Language,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1376,10067,ENG      127B      1,English as a Second Language,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1377,10499,ENG      167B      1,English as a Second Language,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1378,7090,THA      144B      1,English as a Second Language,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1379,6540,AAAS      159A      1,English as a Second Language,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1380,7218,AAAS/HIS      154B      1,English as a Second Language,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1381,10186,ED      170A      1,English as a Second Language,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1382,10541,HSSP      114B      1,English as a Second Language,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1383,10516,ENG      62B      1,English as a Second Language,"Contemporary African Literature, Global Perspectives","Block1C;   M,W;   12:00 PM–1:30 PM",Open        17 / 999 / 0,"Williams, Joshua",View Books
1384,10137,AAAS      124A      1,English as a Second Language,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1385,10134,AAAS      155B      1,English as a Second Language,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1386,6540,AAAS      159A      1,English as a Second Language,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1387,7218,AAAS/HIS      154B      1,English as a Second Language,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1388,10186,ED      170A      1,English as a Second Language,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1389,10067,ENG      127B      1,English as a Second Language,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1390,10499,ENG      167B      1,English as a Second Language,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1391,10113,HIST      153B      1,English as a Second Language,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1392,10117,HIST      175B      1,English as a Second Language,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1393,10541,HSSP      114B      1,English as a Second Language,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1394,7090,THA      144B      1,English as a Second Language,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1395,3196,AAAS      5A      1,Environmental Studies,Introduction to African and African American Studies,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        45 / 999 / 0,"Ray, Carina E;  Williams, Chad",View Books
1396,3614,AAAS      98A      1,Environmental Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Williams, Chad",View Books
1397,3610,AAAS      98A      2,Environmental Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1398,3612,AAAS      98A      3,Environmental Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1399,3616,AAAS      98A      4,Environmental Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1400,3676,AAAS      99D      1,Environmental Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1401,3678,AAAS      99D      2,Environmental Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1402,3680,AAAS      99D      3,Environmental Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Johnson, Jasmine",View Books
1403,3682,AAAS      99D      4,Environmental Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1404,3684,AAAS      99D      5,Environmental Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Williams, Chad",View Books
1405,6472,AAAS      99D      6,Environmental Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Childs, Gregory",View Books
1406,10942,AAAS      99D      7,Environmental Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Wallace, Derron",View Books
1407,10952,AAAS      99D      8,Environmental Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Ray, Carina E",View Books
1408,10985,AAAS      99D      9,Environmental Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Roach, Shoniqua",View Books
1409,10137,AAAS      124A      1,Environmental Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1410,10134,AAAS      155B      1,Environmental Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1411,6540,AAAS      159A      1,Environmental Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1412,7218,AAAS/HIS      154B      1,Environmental Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1413,7198,AAAS/WGS      125A      1,Environmental Studies,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1414,10134,AAAS      155B      1,Environmental Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1415,7218,AAAS/HIS      154B      1,Environmental Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1416,7198,AAAS/WGS      125A      1,Environmental Studies,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1417,10113,HIST      153B      1,Environmental Studies,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1418,10117,HIST      175B      1,Environmental Studies,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1419,10137,AAAS      124A      1,Environmental Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1420,10134,AAAS      155B      1,Environmental Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1421,10067,ENG      127B      1,Environmental Studies,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1422,10499,ENG      167B      1,Environmental Studies,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1423,7090,THA      144B      1,Environmental Studies,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1424,6540,AAAS      159A      1,Environmental Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1425,7218,AAAS/HIS      154B      1,Environmental Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1426,10186,ED      170A      1,Environmental Studies,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1427,10541,HSSP      114B      1,Environmental Studies,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1428,10516,ENG      62B      1,Environmental Studies,"Contemporary African Literature, Global Perspectives","Block1C;   M,W;   12:00 PM–1:30 PM",Open        17 / 999 / 0,"Williams, Joshua",View Books
1429,10137,AAAS      124A      1,Environmental Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1430,10134,AAAS      155B      1,Environmental Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1431,6540,AAAS      159A      1,Environmental Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1432,7218,AAAS/HIS      154B      1,Environmental Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1433,10186,ED      170A      1,Environmental Studies,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1434,10067,ENG      127B      1,Environmental Studies,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1435,10499,ENG      167B      1,Environmental Studies,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1436,10113,HIST      153B      1,Environmental Studies,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1437,10117,HIST      175B      1,Environmental Studies,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1438,10541,HSSP      114B      1,Environmental Studies,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1439,7090,THA      144B      1,Environmental Studies,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1440,3196,AAAS      5A      1,European Cultural Studies,Introduction to African and African American Studies,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        45 / 999 / 0,"Ray, Carina E;  Williams, Chad",View Books
1441,3614,AAAS      98A      1,European Cultural Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Williams, Chad",View Books
1442,3610,AAAS      98A      2,European Cultural Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1443,3612,AAAS      98A      3,European Cultural Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1444,3616,AAAS      98A      4,European Cultural Studies,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1445,3676,AAAS      99D      1,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
1446,3678,AAAS      99D      2,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Nyangoni, Wellington",View Books
1447,3680,AAAS      99D      3,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Johnson, Jasmine",View Books
1448,3682,AAAS      99D      4,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Abdur-Rahman, Aliyyah",View Books
1449,3684,AAAS      99D      5,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Williams, Chad",View Books
1450,6472,AAAS      99D      6,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    0 / 999 / 0,"Childs, Gregory",View Books
1451,10942,AAAS      99D      7,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Wallace, Derron",View Books
1452,10952,AAAS      99D      8,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    1 / 999 / 0,"Ray, Carina E",View Books
1453,10985,AAAS      99D      9,European Cultural Studies,Senior Research,TBD,Open    Consent Req.    2 / 999 / 0,"Roach, Shoniqua",View Books
1454,10137,AAAS      124A      1,European Cultural Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1455,10134,AAAS      155B      1,European Cultural Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1456,6540,AAAS      159A      1,European Cultural Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1457,7218,AAAS/HIS      154B      1,European Cultural Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1458,7198,AAAS/WGS      125A      1,European Cultural Studies,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1459,10134,AAAS      155B      1,European Cultural Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1460,7218,AAAS/HIS      154B      1,European Cultural Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1461,7198,AAAS/WGS      125A      1,European Cultural Studies,Intellectual History of Black Women,"Block2B;   T,Th;   10:00 AM–11:30 AM",Open        23 / 25 / 0,"Roach, Shoniqua",View Books
1462,10113,HIST      153B      1,European Cultural Studies,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1463,10117,HIST      175B      1,European Cultural Studies,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1464,10137,AAAS      124A      1,European Cultural Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1465,10134,AAAS      155B      1,European Cultural Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1466,10067,ENG      127B      1,European Cultural Studies,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1467,10499,ENG      167B      1,European Cultural Studies,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1468,7090,THA      144B      1,European Cultural Studies,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1469,6540,AAAS      159A      1,European Cultural Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1470,7218,AAAS/HIS      154B      1,European Cultural Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1471,10186,ED      170A      1,European Cultural Studies,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1472,10541,HSSP      114B      1,European Cultural Studies,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1473,10516,ENG      62B      1,European Cultural Studies,"Contemporary African Literature, Global Perspectives","Block1C;   M,W;   12:00 PM–1:30 PM",Open        17 / 999 / 0,"Williams, Joshua",View Books
1474,10137,AAAS      124A      1,European Cultural Studies,After the Dance: Performing Sovereignty in the Caribbean,"Block2C;   T,Th;   12:00 PM–1:30 PM",Open        8 / 999 / 0,"Smith, Faith Lois",View Books
1475,10134,AAAS      155B      1,European Cultural Studies,Hip Hop History and Culture,"Block1B;   M,W;   10:00 AM–11:30 AM",Open        50 / 999 / 0,"Williams, Chad",View Books
1476,6540,AAAS      159A      1,European Cultural Studies,Identity Politics in the United States,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        15 / 15 / 0,"Spry, Amber",View Books
1477,7218,AAAS/HIS      154B      1,European Cultural Studies,"Race, Science, and Society","Block1E;   M,W;   4:00 PM–5:30 PM",Open        28 / 999 / 0,"Muigai, Wangui M",View Books
1478,10186,ED      170A      1,European Cultural Studies,Critical Perspectives in Urban Education,"Block2D;   T,Th;   2:00 PM–3:30 PM",Closed        31 / 25 / 0,"Wallace, Derron",View Books
1479,10067,ENG      127B      1,European Cultural Studies,"Migrating Bodies, Migrating Texts","Block2G;   T,Th;   8:00 PM–9:30 PM",Open        13 / 999 / 0,"Smith, Faith Lois",View Books
1480,10499,ENG      167B      1,European Cultural Studies,"Writing the Nation: James Baldwin, Richard Wright, Toni Morrison","Block2D;   T,Th;   2:00 PM–3:30 PM",Open        22 / 999 / 0,"Callender, Brandon",View Books
1481,10113,HIST      153B      1,European Cultural Studies,Slavery and the American Civil War: #1619 Project,"Block1F;   M,W;   6:00 PM–7:30 PM;   Olin-Sang Amer Civ Ctr101",Open        25 / 28 / 0,"Cooper, Abigail",View Books
1482,10117,HIST      175B      1,European Cultural Studies,Resistance and Revolution in Latin America and the Caribbean,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        29 / 999 / 0,"Childs, Gregory",View Books
1483,10541,HSSP      114B      1,European Cultural Studies,Racial/Ethnic and Gender Inequalities in Health and Health Care,"Block1G;   M,W;   8:00 PM–9:30 PM",Open        24 / 25 / 0,"Madison, Maria",View Books
1484,7090,THA      144B      1,European Cultural Studies,Black Theater and Performance,"Block1E;   M,W;   4:00 PM–5:30 PM",Open        22 / 25 / 0,"Wooden, Isaiah Matthew",View Books
1485,3196,AAAS      5A      1,Experiential Learning,Introduction to African and African American Studies,"Block1D;   M,W;   2:00 PM–3:30 PM",Open        45 / 999 / 0,"Ray, Carina E;  Williams, Chad",View Books
1486,3614,AAAS      98A      1,Experiential Learning,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Williams, Chad",View Books
1487,3610,AAAS      98A      2,Experiential Learning,Independent Study,TBD,Open    Consent Req.    0 / 999 / 0,"Smith, Faith Lois",View Books
